id,name,source,width,height,status,weapon,mount,pet
001,,/Users/wdy/github/1999SHUIHU3D/images/001.png,900,1350,generated,present,absent,absent
002,,/Users/wdy/github/1999SHUIHU3D/images/002.png,900,1350,generated,present,present,absent
003,,/Users/wdy/github/1999SHUIHU3D/images/003.png,900,1350,generated,present,absent,absent
004,入云龙公孙胜,/Users/wdy/github/1999SHUIHU3D/images/004.png,900,1350,generated,present,absent,absent
005,,/Users/wdy/github/1999SHUIHU3D/images/005.png,900,1350,generated,present,present,absent
006,,/Users/wdy/github/1999SHUIHU3D/images/006.png,900,1350,generated,present,absent,absent
007,,/Users/wdy/github/1999SHUIHU3D/images/007.png,900,1350,generated,present,present,absent
008,,/Users/wdy/github/1999SHUIHU3D/images/008.png,900,1350,generated,present,absent,absent
009,,/Users/wdy/github/1999SHUIHU3D/images/009.png,900,1350,generated,present,present,absent
010,,/Users/wdy/github/1999SHUIHU3D/images/010.png,900,1350,generated,present,absent,absent
011,,/Users/wdy/github/1999SHUIHU3D/images/011.png,900,1350,generated,present,absent,absent
012,,/Users/wdy/github/1999SHUIHU3D/images/012.png,900,1350,generated,present,absent,absent
013,,/Users/wdy/github/1999SHUIHU3D/images/013.png,900,1350,generated,present,absent,absent
014,,/Users/wdy/github/1999SHUIHU3D/images/014.png,900,1350,generated,present,absent,absent
015,,/Users/wdy/github/1999SHUIHU3D/images/015.png,900,1350,generated,present,absent,absent
016,,/Users/wdy/github/1999SHUIHU3D/images/016.png,900,1350,generated,absent,absent,absent
017,青面兽杨志,/Users/wdy/github/1999SHUIHU3D/images/017.png,900,1350,generated,present,absent,absent
018,,/Users/wdy/github/1999SHUIHU3D/images/018.png,900,1350,generated,present,present,absent
019,,/Users/wdy/github/1999SHUIHU3D/images/019.png,900,1350,generated,present,present,absent
020,,/Users/wdy/github/1999SHUIHU3D/images/020.png,900,1350,approved,present,absent,absent
021,赤发鬼刘唐,/Users/wdy/github/1999SHUIHU3D/images/021.png,900,1350,generated,present,absent,absent
022,,/Users/wdy/github/1999SHUIHU3D/images/022.png,900,1350,generated,present,absent,absent
023,,/Users/wdy/github/1999SHUIHU3D/images/023.png,900,1350,generated,present,absent,absent
024,,/Users/wdy/github/1999SHUIHU3D/images/024.png,900,1350,generated,absent,absent,absent
025,,/Users/wdy/github/1999SHUIHU3D/images/025.png,900,1350,generated,present,absent,absent
026,,/Users/wdy/github/1999SHUIHU3D/images/026.png,900,1350,generated,present,absent,absent
027,,/Users/wdy/github/1999SHUIHU3D/images/027.png,900,1350,generated,present,absent,absent
028,,/Users/wdy/github/1999SHUIHU3D/images/028.png,900,1350,generated,present,absent,absent
029,,/Users/wdy/github/1999SHUIHU3D/images/029.png,900,1350,generated,present,absent,absent
030,,/Users/wdy/github/1999SHUIHU3D/images/030.png,900,1350,generated,present,absent,absent
031,,/Users/wdy/github/1999SHUIHU3D/images/031.png,900,1350,generated,present,absent,absent
032,,/Users/wdy/github/1999SHUIHU3D/images/032.png,900,1350,generated,present,absent,absent
033,,/Users/wdy/github/1999SHUIHU3D/images/033.png,900,1350,generated,present,absent,absent
034,,/Users/wdy/github/1999SHUIHU3D/images/034.png,900,1350,generated,present,absent,absent
035,,/Users/wdy/github/1999SHUIHU3D/images/035.png,900,1350,generated,present,absent,absent
036,,/Users/wdy/github/1999SHUIHU3D/images/036.png,900,1350,generated,present,absent,absent
